Type,Reference number,Departure or issue date,Guest name,Reservation status,Currency,Payment status,Amount,Commission,Payment charge,,Net,Payout date,Payout ID
Reservation,2255588886,6-Jul-22,Guest1,ok,EUR,by_booking,65.7,-7.88,-0.85,,56.97,7-Jul-22,3333333333
Reservation,2255588887,6-Jul-22,Guest2,ok,EUR,by_booking,176,-21.12,-2.29,,152.59,7-Jul-22,3333333333
Reservation,2255588888,5-Jul-22,Guest3,ok,EUR,by_booking,160.2,-19.22,-2.08,,138.9,7-Jul-22,3333333333
Reservation,2255588889,5-Jul-22,Guest4,ok,EUR,by_booking,79,-9.48,-1.03,,68.49,7-Jul-22,3333333333
Reservation,2255588890,4-Jul-22,Guest5,ok,EUR,by_booking,211.5,-25.38,-2.75,,183.37,7-Jul-22,3333333333
Reservation,2255588891,3-Jul-22,Guest6,ok,EUR,by_booking,110.3,-13.24,-1.43,,95.63,7-Jul-22,3333333333
Reservation,2255588892,3-Jul-22,Guest7,ok,EUR,by_booking,216,-25.92,-2.8,,187.28,7-Jul-22,3333333333
Reservation,2255588893,2-Jul-22,Guest8,ok,EUR,by_booking,108.9,-13.07,-1.42,,94.41,7-Jul-22,3333333333
Reservation,2255588894,2-Jul-22,Guest9,ok,EUR,by_booking,130,-15.6,-1.69,,112.71,7-Jul-22,3333333333
Reservation,2255588895,2-Jul-22,Guest10,ok,EUR,by_booking,197.1,-23.65,-2.56,,170.89,7-Jul-22,3333333333
Reservation,2255588896,1-Jul-22,Guest11,ok,EUR,by_booking,76,-9.12,-0.99,,65.89,7-Jul-22,3333333333
Reservation,2255588897,1-Jul-22,Guest12,ok,EUR,by_booking,77,-9.24,-1,,66.76,7-Jul-22,3333333333
Reservation,2255588898,1-Jul-22,Guest13,ok,EUR,by_booking,109,-13.08,-1.42,,94.5,7-Jul-22,3333333333
Reservation,2255588899,13-Jul-22,Guest14,ok,EUR,by_booking,432.7,-51.92,-5.62,,375.16,14-Jul-22,4444444444
Reservation,2255588900,12-Jul-22,Guest15,ok,EUR,by_booking,128,-15.36,-1.66,,110.98,14-Jul-22,4444444444
Reservation,2255588901,12-Jul-22,Guest16,ok,EUR,by_booking,89,-10.68,-1.16,,77.16,14-Jul-22,4444444444
Reservation,2255588902,12-Jul-22,Guest17,ok,EUR,by_booking,196.2,-23.54,-2.55,,170.11,14-Jul-22,4444444444
Reservation,2255588903,11-Jul-22,Guest18,ok,EUR,by_booking,237,-28.44,-3.08,,205.48,14-Jul-22,4444444444
Reservation,2255588904,10-Jul-22,Guest19,ok,EUR,by_booking,222.8,-26.74,-2.89,,193.17,14-Jul-22,4444444444
Reservation,2255588905,9-Jul-22,Guest20,ok,EUR,by_booking,96.92,-11.63,-1.26,,84.03,14-Jul-22,4444444444
Reservation,2255588906,9-Jul-22,Guest21,ok,EUR,by_booking,211.5,-25.38,-2.75,,183.37,14-Jul-22,4444444444
Reservation,2255588907,9-Jul-22,Guest22,ok,EUR,by_booking,125,-15,-1.62,,108.38,14-Jul-22,4444444444
Reservation,2255588908,9-Jul-22,Guest23,ok,EUR,by_booking,247.5,-29.7,-3.22,,214.58,14-Jul-22,4444444444
Reservation,2255588909,8-Jul-22,Guest24,ok,EUR,by_booking,98.1,-11.77,-1.28,,85.05,14-Jul-22,4444444444
Reservation,2255588910,8-Jul-22,Guest25,ok,EUR,by_booking,101.2,-12.14,-1.32,,87.74,14-Jul-22,4444444444
Reservation,2255588911,7-Jul-22,Guest26,ok,EUR,by_booking,136.8,-16.42,-1.78,,118.6,14-Jul-22,4444444444
Reservation,2255588912,7-Jul-22,Guest27,ok,EUR,by_booking,178.2,-21.38,-2.32,,154.5,14-Jul-22,4444444444
Reservation,2255588913,7-Jul-22,Guest28,ok,EUR,by_booking,77,-9.24,-1,,66.76,14-Jul-22,4444444444
Reservation,2255588914,20-Jul-22,Guest29,ok,EUR,by_booking,108,-12.96,-1.4,,93.64,21-Jul-22,5555555555
Reservation,2255588915,20-Jul-22,Guest30,ok,EUR,by_booking,125,-15,-1.62,,108.38,21-Jul-22,5555555555
Reservation,2255588916,20-Jul-22,Guest31,ok,EUR,by_booking,196.2,-23.54,-2.55,,170.11,21-Jul-22,5555555555
Reservation,2255588917,19-Jul-22,Guest32,ok,EUR,by_booking,186.3,-22.36,-2.42,,161.52,21-Jul-22,5555555555
Reservation,2255588918,19-Jul-22,Guest33,ok,EUR,by_booking,118,-14.16,-1.53,,102.31,21-Jul-22,5555555555
Reservation,2255588919,17-Jul-22,Guest34,ok,EUR,by_booking,108,-12.96,-1.4,,93.64,21-Jul-22,5555555555
Reservation,2255588920,17-Jul-22,Guest35,ok,EUR,by_booking,370,-44.4,-4.81,,320.79,21-Jul-22,5555555555
Reservation,2255588921,17-Jul-22,Guest36,ok,EUR,by_booking,281.15,-33.74,-3.65,,243.76,21-Jul-22,5555555555
Reservation,2255588922,17-Jul-22,Guest37,ok,EUR,by_booking,135,-16.2,-1.75,,117.05,21-Jul-22,5555555555
Reservation,2255588923,16-Jul-22,Guest38,ok,EUR,by_booking,350,-42,-4.55,,303.45,21-Jul-22,5555555555
Reservation,2255588924,16-Jul-22,Guest39,ok,EUR,by_booking,201.6,-24.19,-2.62,,174.79,21-Jul-22,5555555555
Reservation,2255588925,14-Jul-22,Guest40,ok,EUR,by_booking,72,-8.64,-0.94,,62.42,21-Jul-22,5555555555
Reservation,2255588926,14-Jul-22,Guest41,ok,EUR,by_booking,108,-12.96,-1.4,,93.64,21-Jul-22,5555555555
Reservation,2255588927,14-Jul-22,Guest42,ok,EUR,by_booking,97.2,-11.66,-1.26,,84.28,21-Jul-22,5555555555
Reservation,2255588928,27-Jul-22,Guest43,ok,EUR,by_booking,120,-14.4,-1.56,,104.04,28-Jul-22,6666666666
Reservation,2255588929,27-Jul-22,Guest44,ok,EUR,by_booking,145,-17.4,-1.89,,125.71,28-Jul-22,6666666666
Reservation,2255588930,27-Jul-22,Guest45,ok,EUR,by_booking,139,-16.68,-1.81,,120.51,28-Jul-22,6666666666
Reservation,2255588931,26-Jul-22,Guest46,ok,EUR,by_booking,65,-7.8,-0.84,,56.36,28-Jul-22,6666666666
Reservation,2255588932,26-Jul-22,Guest47,ok,EUR,by_booking,89,-10.68,-1.16,,77.16,28-Jul-22,6666666666
Reservation,2255588933,26-Jul-22,Guest48,ok,EUR,by_booking,58.5,-7.02,-0.76,,50.72,28-Jul-22,6666666666
Reservation,2255588934,25-Jul-22,Guest49,ok,EUR,by_booking,222.3,-26.68,-2.89,,192.73,28-Jul-22,6666666666
Reservation,2255588935,24-Jul-22,Guest50,ok,EUR,by_booking,115,-13.8,-1.49,,99.71,28-Jul-22,6666666666
Reservation,2255588936,24-Jul-22,Guest51,ok,EUR,by_booking,290,-34.8,-3.77,,251.43,28-Jul-22,6666666666
Reservation,2255588937,24-Jul-22,Guest52,ok,EUR,by_booking,319.5,-38.34,-4.15,,277.01,28-Jul-22,6666666666
Reservation,2255588938,23-Jul-22,Guest53,ok,EUR,by_booking,121.5,-14.58,-1.58,,105.34,28-Jul-22,6666666666
Reservation,2255588939,23-Jul-22,Guest54,ok,EUR,by_booking,108.14,-12.98,-1.41,,93.75,28-Jul-22,6666666666
Reservation,2255588940,22-Jul-22,Guest55,ok,EUR,by_booking,238,-28.56,-3.09,,206.35,28-Jul-22,6666666666
Reservation,2255588941,22-Jul-22,Guest56,ok,EUR,by_booking,72,-8.64,-0.94,,62.42,28-Jul-22,6666666666
Reservation,2255588942,22-Jul-22,Guest57,ok,EUR,by_booking,270,-32.4,-3.51,,234.09,28-Jul-22,6666666666
Reservation,2255588943,21-Jul-22,Guest58,ok,EUR,by_booking,312,-37.44,-4.06,,270.5,28-Jul-22,6666666666
Reservation,2255588944,21-Jul-22,Guest59,ok,EUR,by_booking,110,-13.2,-1.43,,95.37,28-Jul-22,6666666666
Reservation,2255588945,29-Jul-22,Guest60,ok,EUR,by_booking,238,-28.56,-3.09,,206.35,4-Aug-22,6666666666
Reservation,2255588946,30-Jul-22,Guest61,ok,EUR,by_booking,99,-11.88,-1.29,,85.83,4-Aug-22,6666666666
